,SA3 Name
3744,Migratory - Offshore - Shipping (Qld)
3745,Special Purpose Codes SA3 (Qld)
3774,Migratory - Offshore - Shipping (SA)
3775,Special Purpose Codes SA3 (SA)
3809,Migratory - Offshore - Shipping (WA)
3810,Special Purpose Codes SA3 (WA)
3826,Migratory - Offshore - Shipping (Tas.)
3827,Special Purpose Codes SA3 (Tas.)
3837,Migratory - Offshore - Shipping (NT)
3838,Special Purpose Codes SA3 (NT)
3840,Cotter - Namadgi
3848,Migratory - Offshore - Shipping (ACT)
3849,Special Purpose Codes SA3 (ACT)
3851,Cocos (Keeling) Islands
3852,Jervis Bay
3853,Migratory - Offshore - Shipping (OT)
3854,Special Purpose Codes SA3 (OT)
3875,Illawarra Catchment Reserve
3880,Lord Howe Island
3931,Blue Mountains - South
3946,Migratory - Offshore - Shipping (NSW)
3947,Special Purpose Codes SA3 (NSW)
4013,Migratory - Offshore - Shipping (Vic.)
4014,Special Purpose Codes SA3 (Vic.)
4095,Migratory - Offshore - Shipping (Qld)
4096,Special Purpose Codes SA3 (Qld)
4125,Migratory - Offshore - Shipping (SA)
4126,Special Purpose Codes SA3 (SA)
4160,Migratory - Offshore - Shipping (WA)
4161,Special Purpose Codes SA3 (WA)
4177,Migratory - Offshore - Shipping (Tas.)
4178,Special Purpose Codes SA3 (Tas.)
4188,Migratory - Offshore - Shipping (NT)
4189,Special Purpose Codes SA3 (NT)
4191,Cotter - Namadgi
4199,Migratory - Offshore - Shipping (ACT)
4200,Special Purpose Codes SA3 (ACT)
4202,Cocos (Keeling) Islands
4203,Jervis Bay
4204,Migratory - Offshore - Shipping (OT)
4205,Special Purpose Codes SA3 (OT)
4226,Illawarra Catchment Reserve
4231,Lord Howe Island
4282,Blue Mountains - South
4297,Migratory - Offshore - Shipping (NSW)
4298,Special Purpose Codes SA3 (NSW)
4364,Migratory - Offshore - Shipping (Vic.)
4365,Special Purpose Codes SA3 (Vic.)
4446,Migratory - Offshore - Shipping (Qld)
4447,Special Purpose Codes SA3 (Qld)
4476,Migratory - Offshore - Shipping (SA)
4477,Special Purpose Codes SA3 (SA)
4511,Migratory - Offshore - Shipping (WA)
4512,Special Purpose Codes SA3 (WA)
4528,Migratory - Offshore - Shipping (Tas.)
4529,Special Purpose Codes SA3 (Tas.)
4539,Migratory - Offshore - Shipping (NT)
4540,Special Purpose Codes SA3 (NT)
4542,Cotter - Namadgi
4550,Migratory - Offshore - Shipping (ACT)
4551,Special Purpose Codes SA3 (ACT)
4553,Cocos (Keeling) Islands
4554,Jervis Bay
4555,Migratory - Offshore - Shipping (OT)
4556,Special Purpose Codes SA3 (OT)
4577,Illawarra Catchment Reserve
4582,Lord Howe Island
4633,Blue Mountains - South
4648,Migratory - Offshore - Shipping (NSW)
4649,Special Purpose Codes SA3 (NSW)
4715,Migratory - Offshore - Shipping (Vic.)
4716,Special Purpose Codes SA3 (Vic.)
4797,Migratory - Offshore - Shipping (Qld)
4798,Special Purpose Codes SA3 (Qld)
4827,Migratory - Offshore - Shipping (SA)
4828,Special Purpose Codes SA3 (SA)
4862,Migratory - Offshore - Shipping (WA)
4863,Special Purpose Codes SA3 (WA)
4879,Migratory - Offshore - Shipping (Tas.)
4880,Special Purpose Codes SA3 (Tas.)
4890,Migratory - Offshore - Shipping (NT)
4891,Special Purpose Codes SA3 (NT)
4893,Cotter - Namadgi
4901,Migratory - Offshore - Shipping (ACT)
4902,Special Purpose Codes SA3 (ACT)
4904,Cocos (Keeling) Islands
4905,Jervis Bay
4906,Migratory - Offshore - Shipping (OT)
4907,Special Purpose Codes SA3 (OT)
4928,Illawarra Catchment Reserve
4933,Lord Howe Island
4984,Blue Mountains - South
