"","sex","SA3","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011"
"679","F",31801,22700,22605,22475,22281,22088,22073,21977,21946,21883,21805,21690,21623,21543,21424,21301,21210,21399,21559,21731,21787,21892
"680","M",31801,24562,24517,24426,24291,24139,24217,24051,23755,23414,23102,22881,22637,22413,22054,21898,21813,22035,22240,22394,22490,22600
"682","F",31802,59458,60356,61806,62770,63591,64300,64891,65674,67173,68700,70067,71371,72813,74443,76520,78606,80772,83429,85873,87665,89686
"683","M",31802,62369,63180,64619,65566,66382,66946,67450,68258,69263,70692,71980,73779,75186,76765,78847,80913,82770,85115,87246,88926,90500
"685","F",31901,31245,31819,32650,33500,34223,34938,35414,35786,36051,36396,36736,37353,37897,38654,39637,40605,41398,42434,43205,43702,44018
"686","M",31901,30894,31500,32381,33252,34056,34783,35181,35471,35710,35918,36131,36618,37100,37796,38663,39560,40387,41333,42099,42594,42877
"688","F",31902,20167,20430,20823,21068,21108,21192,21284,21278,21266,21223,21427,21593,21750,21972,22190,22628,22858,23205,23648,23872,24144
"689","M",31902,21055,21355,21775,22098,22139,22256,22331,22298,22275,22237,22423,22548,22675,22836,23027,23282,23469,23751,24155,24353,24465
"691","F",31903,16064,16505,17023,17524,17740,18000,18298,18533,18685,18607,18822,19106,19550,20091,20711,21197,21713,22259,22828,23161,23431
"692","M",31903,16379,16852,17431,17966,18219,18507,18717,18957,19102,19015,19174,19400,19789,20303,20888,21339,21845,22364,22871,23133,23343
"694","F",31904,12030,13034,14269,15434,16278,16873,17261,17670,17914,18386,18853,19365,20390,21604,22615,23702,24860,25962,26978,27648,27973
"695","M",31904,11728,12687,13905,15033,15860,16444,16758,17066,17253,17654,17956,18442,19417,20592,21637,22658,23637,24513,25328,25804,26133
"697","F",31905,16577,16710,16977,17258,17464,17646,17754,17806,17846,17847,17956,18190,18540,18861,19262,19706,20113,20569,21042,21396,21614
