"","Year","SA3.Name","variable","value","fit","residuals","ape"
"6534",2011,"Lake Macquarie - East","m0.4",3719,3413.61444886083,-305.385551139173,8.2114964006231
"6535",2011,"Lake Macquarie - West","m0.4",2133,2176.11448732585,43.1144873258486,2.02130742268395
"6536",2011,"Newcastle","m0.4",5100,4592.47132209419,-507.528677905805,9.95154270403539
"6537",2011,"Richmond Valley - Coastal","m0.4",2212,2058.68119102324,-153.318808976758,6.93123006224042
"6538",2011,"Richmond Valley - Hinterland","m0.4",2371,2044.77961472969,-326.220385270309,13.7587678308861
"6539",2011,"Tweed Valley","m0.4",2624,2232.26989931774,-391.730100682257,14.9287385930738
"6540",2011,"Griffith - Murrumbidgee (West)","m0.4",1786,1747.73394024945,-38.266059750551,2.14255653698494
"6541",2011,"Tumut - Tumbarumba","m0.4",490,476.555087259875,-13.4449127401254,2.74385974288274
"6542",2011,"Wagga Wagga","m0.4",3211,2991.58481214663,-219.415187853368,6.83323537382024
"6543",2011,"Shoalhaven","m0.4",2739,2300.33467787691,-438.665322123093,16.0155283725116
"6544",2011,"Southern Highlands","m0.4",1372,1373.91281446892,1.91281446892231,0.139417964207165
"6545",2011,"Baulkham Hills","m0.4",4437,4348.44669719439,-88.5533028056052,1.99579226517028
"6546",2011,"Dural - Wisemans Ferry","m0.4",659,695.219303915547,36.2193039155468,5.49610074590998
"6547",2011,"Hawkesbury","m0.4",706,818.533402402207,112.533402402207,15.9395754110775
"6548",2011,"Rouse Hill - McGraths Hill","m0.4",1199,1550.5348079111,351.5348079111,29.3189998257798
"6549",2011,"Blacktown","m0.4",5024,4291.78957245632,-732.210427543681,14.5742521405988
"6550",2011,"Blacktown - North","m0.4",3724,3438.21762319939,-285.782376800614,7.67407026854494
"6551",2011,"Mount Druitt","m0.4",4727,4625.76520929193,-101.234790708073,2.14162874355983
"6552",2011,"Botany","m0.4",1450,1351.32988911866,-98.6701108813375,6.80483523319569
"6553",2011,"Marrickville - Sydenham - Petersham","m0.4",1751,1455.04489141083,-295.95510858917,16.90206216957
"6554",2011,"Sydney Inner City","m0.4",3476,3058.51184921389,-417.488150786114,12.0105912193934
"6555",2011,"Eastern Suburbs - North","m0.4",4094,3475.86137549919,-618.138624500812,15.098647398652
"6556",2011,"Eastern Suburbs - South","m0.4",4120,3582.79444824812,-537.20555175188,13.0389697027155
"6557",2011,"Bankstown","m0.4",6556,6049.29577009153,-506.70422990847,7.72886256724328
"6558",2011,"Canterbury","m0.4",5305,4727.17904315601,-577.820956843993,10.8920067265597
"6559",2011,"Hurstville","m0.4",3759,3314.63200980595,-444.367990194051,11.8214416119726
"6560",2011,"Kogarah - Rockdale","m0.4",4286,4109.92132485143,-176.078675148567,4.10822853823067
"6561",2011,"Canada Bay","m0.4",2758,2258.13154536708,-499.868454632918,18.1243094500695
"6562",2011,"Leichhardt","m0.4",2307,1820.62274465405,-486.377255345946,21.0826725334177
"6563",2011,"Strathfield - Burwood - Ashfield","m0.4",4242,3729.21963403149,-512.780365968509,12.0881745867164
"6564",2011,"Chatswood - Lane Cove","m0.4",3825,3530.17039368241,-294.829606317594,7.70796356385865
"6565",2011,"Hornsby","m0.4",2945,2691.45598470351,-253.544015296491,8.60930442432907
"6566",2011,"Ku-ring-gai","m0.4",3052,2676.18861980946,-375.811380190537,12.3136100979861
"6567",2011,"North Sydney - Mosman","m0.4",2591,2282.35486904529,-308.645130954713,11.9122011175111
"6568",2011,"Manly","m0.4",1601,1351.99634008989,-249.003659910105,15.5530081143101
"6569",2011,"Pittwater","m0.4",2004,1863.74118608354,-140.258813916463,6.99894281020273
"6570",2011,"Warringah","m0.4",5470,5088.70661744543,-381.293382554566,6.970628565897
"6571",2011,"Camden","m0.4",2302,2374.90020135855,72.9002013585464,3.16682021540167
"6572",2011,"Campbelltown (NSW)","m0.4",5702,4834.04996461665,-867.950035383354,15.2218526023036
"6573",2011,"Wollondilly","m0.4",1397,1373.95037368629,-23.0496263137093,1.64993745982171
"6574",2011,"Blue Mountains","m0.4",2377,2318.35681272076,-58.6431872792391,2.46710926711145
"6575",2011,"Penrith","m0.4",4992,4802.27508356398,-189.724916436021,3.80057925552927
"6576",2011,"Richmond - Windsor","m0.4",1354,1306.31013211354,-47.6898678864609,3.52214681583906
"6577",2011,"St Marys","m0.4",1995,2018.26034748783,23.2603474878301,1.16593220490377
"6578",2011,"Auburn","m0.4",2997,2637.63923161617,-359.36076838383,11.9906829624234
"6579",2011,"Carlingford","m0.4",1895,1549.92115489737,-345.078845102633,18.2099654407722
