No.,Code,Name,1996,2001,2006,2011,2016
204,31105,Loganlea - Carbrook,41481.0,45987,51025.90814682552,55806.11330476896,60440.956466912
205,31106,Springwood - Kingston,73301.0,70809,69442.86287647468,67820.55781867265,66126.21983490286
206,31201,Bowen Basin - North,33428.0,30340,28892.176150324747,27426.40237537747,26027.21875435336
207,31202,Mackay,85105.0,89337,94743.21161568614,99627.12103651722,104204.83694306732
208,31203,Whitsunday,13819.0,15225,16746.07689091237,18178.528701886346,19560.200566509735
209,31301,Bribie - Beachmere,20733.0,23913,27081.722234540703,30134.815506548297,33127.641995588456
210,31302,Caboolture,36732.0,40823,47048.19967814464,53120.18655066783,59121.36652422765
211,31303,Caboolture Hinterland,8498.0,9627,10467.24086820904,11250.105566908598,11999.533291390277
212,31304,Narangba - Burpengary,37396.0,42620,49455.72192534998,56154.190324647076,62793.912424006376
213,31305,Redcliffe,48959.0,49287,50001.3995649858,50493.201081978914,50869.62364491794
214,31401,Hills District,52666.0,63265,70997.2745785704,78397.532179961,85617.76228059307
215,31402,North Lakes,19654.0,24223,27811.345323332927,31302.285124962502,34746.69168608528
216,31403,Strathpine,32559.0,33333,34377.7326169969,35250.65459355284,36027.699712932794
217,31501,Far North,25983.0,28022,29487.41040905976,30792.87122284888,32005.211334503994
218,31502,Outback - North,34084.0,33625,32945.89087706699,32147.17262528332,31316.665559907982
219,31503,Outback - South,22521.0,21974,21222.67092358092,20420.359481307416,19627.436882161277
220,31601,Buderim,25575.0,33457,41004.54675241881,48669.17068326116,56386.754678053556
221,31602,Caloundra,44132.0,50984,56724.69285690946,62182.52632568894,67482.59767576441
222,31603,Maroochy,37781.0,43076,47846.2641287112,52375.45100117325,56769.55605969721
223,31604,Nambour - Pomona,42523.0,47850,53057.05122260545,57994.054962349444,62779.05784962376
224,31605,Noosa,24893.0,29788,34938.164593445355,40021.23687502597,45081.119918691365
225,31606,Sunshine Coast Hinterland,33803.0,37272,41720.331667510414,45969.40116693893,50109.425784096646
226,31701,Toowoomba,117283.0,122996,128397.07777037733,133119.2004497223,137450.82283828768
227,31801,Charters Towers - Ayr - Ingham,46290.0,44571,44093.313726921,43433.9312811783,42703.454771325865
228,31802,Townsville,131246.0,142047,150558.0407541747,158239.82101118786,165435.62822120744
229,31901,Bundaberg,69721.0,72867,77362.1472354567,81430.11913650566,85247.50777909093
230,31902,Burnett,43448.0,43850,45192.07132301483,46309.19490766059,47301.078567166325
231,31903,Gympie - Cooloola,36507.0,37996,40325.0400830579,42431.53127110307,44407.50015975798
232,31904,Hervey Bay,33317.0,36809,42038.80310407083,47107.96723211585,52097.360182606244
233,31905,Maryborough,35474.0,36038,37399.0424352134,38567.1521777758,39625.701934477685
234,40101,Adelaide City,12779.0,13211,14005.630858555945,14723.092842913382,15395.325103151963
235,40102,Adelaide Hills,58544.0,61883,64933.298584001524,67634.20551682657,70132.45722735222
236,40103,Burnside,40649.0,42403,43582.937197359905,44549.383715533986,45398.07485833844
237,40104,Campbelltown (SA),45923.0,46874,47679.969698655696,48268.93936398248,48743.69184786412
238,40105,Norwood - Payneham - St Peters,33704.0,33546,33938.43255050679,34183.42873190604,34353.350210399
239,40106,Prospect - Walkerville,25955.0,26101,26316.525009229543,26418.68321754041,26464.21356340337
240,40107,Unley,36334.0,36405,36614.087128126426,36664.18323314215,36635.96206688668
241,40201,Gawler - Two Wells,23309.0,25820,28018.079360045107,30061.991593840743,32015.882504532794
242,40202,Playford,65214.0,68692,71329.9427715597,73598.87774022421,75657.9540658556
243,40203,Port Adelaide - East,50196.0,52352,53020.96090505016,53457.35343190143,53774.47789236714
244,40204,Salisbury,110103.0,112801,115709.43961104332,118058.16485969978,120100.49043958019
245,40205,Tea Tree Gully,90961.0,94873,99924.51313650314,104432.74996188199,108624.3688777052
246,40301,Holdfast Bay,30653.0,31952,32616.709245963397,33128.87148938305,33559.273490413645
247,40302,Marion,78539.0,79930,81117.3698251636,81942.52153172399,82579.52172164797
248,40303,Mitcham,60148.0,60827,60908.52211888922,60724.502259404995,60414.20920022843
249,40304,Onkaparinga,145197.0,151302,159033.28545654466,165904.56701920714,172275.86696465686
250,40401,Charles Sturt,99576.0,100304,100714.51673999452,100686.3908548923,100444.67191766648
251,40402,Port Adelaide - West,54536.0,53959,53729.16069657062,53268.20983006907,52704.633872700615
252,40403,West Torrens,53917.0,54771,55208.781983023495,55408.48790224716,55489.42306800739
253,40501,Barossa,28538.0,29681,30892.935757246974,31943.417485529997,32901.5895182225
254,40502,Lower North,22016.0,21769,21853.18326137065,21842.163612118202,21784.86581111478
255,40503,Mid North,29529.0,28324,27765.62396840215,27105.570111720066,26417.643568274994
256,40504,Yorke Peninsula,22090.0,22481,22920.07024616867,23252.939785181483,23529.235135238265
257,40601,Eyre Peninsula and South West,57372.0,56054,55370.04720718081,54461.19392329446,53467.765797475106
258,40602,Outback - North and East,29336.0,29373,29005.450939387607,28520.47134598189,27991.726888626643
259,40701,Fleurieu - Kangaroo Island,33352.0,37212,40435.39554345241,43436.871854770696,46308.93908550396
260,40702,Limestone Coast,62592.0,62332,62766.33573608669,62929.03454909319,62956.94347510362
261,40703,Murray and Mallee,68017.0,68229,69044.62791540056,69559.61638233719,69921.25671744304
262,50101,Augusta - Margaret River - Busselton,26462.0,33362,38430.51570077764,43372.620109362666,48256.03308088626
263,50102,Bunbury,68763.0,77974,83617.7563479617,88796.59869408779,93702.22165517187
264,50103,Manjimup,21654.0,22138,22612.976598412315,22981.698938639925,23293.300940836336
