No.,Code,Name,Age,Males1996,Males2001,Females1996,Females2001
,,,20–24,1117,1000.0,956,864.0
,,,25–29,1117,1111.0,1119,1118.0
,,,30–34,1523,1244.0,1472,1317.0
,,,35–39,1777,1653.0,1848,1644.0
,,,40–44,1795,1846.0,1685,1915.0
,,,45–49,1626,1755.0,1447,1683.0
,,,50–54,1301,1710.0,1296,1614.0
,,,55–59,1205,1400.0,1194,1454.0
,,,60–64,1240,1352.0,1191,1333.0
,,,65–69,1247,1244.0,1175,1194.0
,,,70–74,995,1173.0,967,1097.0
,,,75–79,673,818.0,743,891.0
,,,80–84,356,465.0,512,648.0
,,,85+,190,266.0,397,545.0
12,10402,Coffs Harbour,0–4,2575,2449.0,2462,2273.0
,,,5–9,3025,2851.0,2901,2794.0
,,,10–14,3127,3166.0,3040,3073.0
,,,15–19,2537,2803.0,2342,2683.0
,,,20–24,1738,1752.0,1708,1630.0
,,,25–29,1842,1687.0,1892,1823.0
,,,30–34,2255,2035.0,2501,2249.0
,,,35–39,2922,2506.0,3050,2783.0
,,,40–44,2973,3017.0,2984,3177.0
,,,45–49,2650,2944.0,2506,2967.0
,,,50–54,1973,2670.0,1878,2604.0
,,,55–59,1664,2133.0,1751,2080.0
,,,60–64,1586,1848.0,1605,1920.0
,,,65–69,1662,1656.0,1584,1713.0
,,,70–74,1328,1600.0,1473,1557.0
,,,75–79,877,1121.0,965,1385.0
,,,80–84,501,664.0,671,891.0
,,,85+,271,402.0,506,768.0
13,10501,Bourke - Cobar - Coonamble,0–4,1546,1415.0,1479,1269.0
,,,5–9,1463,1417.0,1408,1320.0
,,,10–14,1158,1110.0,1069,1116.0
,,,15–19,927,933.0,852,780.0
,,,20–24,1109,933.0,1033,851.0
,,,25–29,1418,1131.0,1326,1057.0
,,,30–34,1378,1249.0,1236,1173.0
,,,35–39,1367,1268.0,1165,1061.0
,,,40–44,1181,1229.0,947,1042.0
,,,45–49,1104,1102.0,886,863.0
,,,50–54,1008,1069.0,812,851.0
,,,55–59,907,927.0,713,743.0
,,,60–64,753,768.0,564,626.0
,,,65–69,611,621.0,480,509.0
,,,70–74,353,537.0,344,418.0
,,,75–79,215,254.0,257,284.0
,,,80–84,96,145.0,180,202.0
,,,85+,65,76.0,155,183.0
14,10502,Broken Hill and Far West,0–4,952,822.0,798,770.0
,,,5–9,950,907.0,900,793.0
,,,10–14,992,895.0,868,826.0
,,,15–19,759,828.0,727,712.0
,,,20–24,750,600.0,727,559.0
,,,25–29,811,695.0,844,689.0
,,,30–34,884,765.0,923,781.0
,,,35–39,1064,857.0,1021,863.0
,,,40–44,959,972.0,886,930.0
,,,45–49,926,909.0,834,839.0
,,,50–54,720,881.0,659,819.0
,,,55–59,628,703.0,606,638.0
,,,60–64,590,600.0,592,601.0
,,,65–69,653,524.0,657,559.0
,,,70–74,443,563.0,510,598.0
,,,75–79,283,338.0,471,417.0
,,,80–84,179,183.0,360,341.0
,,,85+,96,108.0,278,323.0
15,10503,Dubbo,0–4,3013,2734.0,2846,2679.0
,,,5–9,3002,2948.0,2829,2732.0
,,,10–14,2889,2879.0,2819,2750.0
,,,15–19,2317,2474.0,2233,2360.0
,,,20–24,2105,1863.0,2122,1886.0
,,,25–29,2206,2025.0,2421,2074.0
,,,30–34,2428,2117.0,2466,2390.0
,,,35–39,2541,2401.0,2732,2476.0
,,,40–44,2344,2488.0,2485,2590.0
,,,45–49,2262,2323.0,2141,2319.0
,,,50–54,1852,2250.0,1757,2216.0
,,,55–59,1660,1861.0,1562,1781.0
,,,60–64,1314,1699.0,1321,1578.0
,,,65–69,1226,1318.0,1212,1351.0
,,,70–74,908,1175.0,1092,1219.0
,,,75–79,540,813.0,755,1024.0
,,,80–84,289,429.0,580,700.0
,,,85+,180,257.0,420,663.0
16,10601,Lower Hunter,0–4,3252,2821.0,3038,2700.0
,,,5–9,3328,3112.0,3145,2949.0
,,,10–14,3171,3028.0,3121,2955.0
,,,15–19,2832,2839.0,2478,2646.0
,,,20–24,1963,2369.0,1775,2030.0
,,,25–29,2141,2433.0,2300,2328.0
,,,30–34,2555,2669.0,2759,2636.0
,,,35–39,3054,2861.0,3125,2793.0
,,,40–44,2955,3095.0,2948,2951.0
,,,45–49,2647,2794.0,2445,2714.0
,,,50–54,2089,2742.0,1813,2484.0
,,,55–59,1559,2103.0,1584,1893.0
,,,60–64,1361,1619.0,1452,1560.0
,,,65–69,1340,1305.0,1456,1335.0
,,,70–74,1056,1143.0,1315,1333.0
,,,75–79,721,810.0,1036,1139.0
,,,80–84,405,450.0,767,807.0
,,,85+,199,258.0,557,737.0
17,10602,Maitland,0–4,2031,2041.0,1935,1926.0
,,,5–9,2087,2047.0,1990,2002.0
,,,10–14,2111,2107.0,2031,1996.0
,,,15–19,1939,2099.0,1700,1937.0
,,,20–24,1316,1705.0,1245,1627.0
,,,25–29,1361,1699.0,1545,1759.0
,,,30–34,1601,1741.0,1817,1857.0
,,,35–39,1847,1914.0,2000,1984.0
,,,40–44,1868,1972.0,1890,2063.0
,,,45–49,1659,1920.0,1623,1875.0
,,,50–54,1330,1727.0,1208,1697.0
,,,55–59,954,1337.0,988,1241.0
,,,60–64,817,959.0,937,1004.0
,,,65–69,856,795.0,952,878.0
,,,70–74,688,740.0,877,880.0
,,,75–79,468,560.0,656,776.0
,,,80–84,261,330.0,484,501.0
,,,85+,133,175.0,331,453.0
18,10603,Port Stephens,0–4,2235,2134.0,2181,2013.0
,,,5–9,2385,2400.0,2237,2287.0
,,,10–14,2226,2388.0,2100,2231.0
,,,15–19,1793,2044.0,1602,1825.0
,,,20–24,1288,1572.0,1151,1413.0
,,,25–29,1425,1722.0,1614,1700.0
,,,30–34,1813,1879.0,2002,2068.0
,,,35–39,2062,2317.0,2176,2253.0
,,,40–44,1968,2216.0,1982,2139.0
,,,45–49,1687,1969.0,1707,2054.0
,,,50–54,1459,2011.0,1384,2035.0
,,,55–59,1336,1832.0,1379,1834.0
,,,60–64,1188,1776.0,1438,1704.0
,,,65–69,1409,1497.0,1443,1468.0
,,,70–74,1193,1315.0,1167,1302.0
,,,75–79,692,944.0,784,994.0
,,,80–84,373,450.0,485,581.0
,,,85+,138,248.0,262,429.0
19,10604,Upper Hunter,0–4,1198,1088.0,1243,1059.0
,,,5–9,1366,1097.0,1246,1102.0
,,,10–14,1230,1189.0,1146,1095.0
,,,15–19,1066,1060.0,946,972.0
,,,20–24,1092,848.0,864,725.0
,,,25–29,1121,956.0,1021,919.0
,,,30–34,1214,1037.0,1129,969.0
,,,35–39,1229,1136.0,1129,1061.0
,,,40–44,1150,1149.0,1057,1045.0
,,,45–49,1060,1058.0,966,975.0
,,,50–54,883,1008.0,763,910.0
,,,55–59,624,848.0,586,728.0
,,,60–64,527,608.0,480,595.0
,,,65–69,447,490.0,443,483.0
,,,70–74,315,433.0,378,438.0
,,,75–79,203,274.0,298,345.0
,,,80–84,133,167.0,219,252.0
,,,85+,80,138.0,186,272.0
20,10701,Dapto - Port Kembla,0–4,2576,2594.0,2439,2393.0
,,,5–9,2473,2783.0,2343,2541.0
,,,10–14,2497,2656.0,2355,2516.0
,,,15–19,2616,2775.0,2515,2498.0
,,,20–24,3340,2230.0,3046,2105.0
,,,25–29,2829,2433.0,2632,2382.0
,,,30–34,2964,2523.0,2804,2506.0
,,,35–39,2808,2792.0,2712,2779.0
,,,40–44,2475,2691.0,2458,2577.0
,,,45–49,2413,2363.0,2241,2441.0
,,,50–54,1832,2515.0,1866,2273.0
,,,55–59,1616,1934.0,1617,1899.0
,,,60–64,1444,1764.0,1444,1803.0
,,,65–69,1350,1566.0,1454,1531.0
,,,70–74,1030,1397.0,1229,1443.0
,,,75–79,501,877.0,747,1008.0
,,,80–84,172,427.0,427,589.0
,,,85+,135,207.0,479,491.0
21,10703,Kiama - Shellharbour,0–4,3036,2971.0,2804,2817.0
,,,5–9,3039,3279.0,2926,3015.0
,,,10–14,3095,3215.0,2975,2980.0
,,,15–19,2648,3018.0,2448,2863.0
,,,20–24,2483,2330.0,2391,2136.0
,,,25–29,2486,2392.0,2456,2559.0
,,,30–34,2861,2688.0,2883,2724.0
,,,35–39,2967,3030.0,3069,3141.0
,,,40–44,2717,3096.0,2719,3209.0
,,,45–49,2494,2774.0,2279,2758.0
,,,50–54,1849,2545.0,1895,2407.0
,,,55–59,1623,1968.0,1660,2028.0
,,,60–64,1381,1677.0,1422,1802.0
,,,65–69,1305,1432.0,1395,1517.0
,,,70–74,965,1281.0,1156,1440.0
,,,75–79,579,890.0,742,1093.0
,,,80–84,311,485.0,452,673.0
,,,85+,137,288.0,376,588.0
22,10704,Wollongong,0–4,3903,3773.0,3766,3480.0
,,,5–9,3803,3756.0,3670,3627.0
,,,10–14,3825,3631.0,3683,3508.0
,,,15–19,3940,3886.0,3840,3888.0
,,,20–24,4650,4855.0,4370,4328.0
,,,25–29,4154,4504.0,3960,4251.0
,,,30–34,4287,4137.0,4130,4007.0
,,,35–39,4135,4308.0,4041,4255.0
,,,40–44,3803,4353.0,3787,4263.0
,,,45–49,3740,3869.0,3566,3795.0
,,,50–54,3137,3636.0,3170,3486.0
,,,55–59,2902,2916.0,2902,2933.0
,,,60–64,2714,2586.0,2712,2619.0
,,,65–69,2604,2215.0,2722,2397.0
,,,70–74,2225,2084.0,2460,2422.0
