No.,Code,Name,Model,Customised,Crude
225,31606,Sunshine Coast Hinterland,30988.699999999997,,
226,31701,Toowoomba,104761.644,,
227,31801,Charters Towers - Ayr - Ingham,39615.396,,
228,31802,Townsville,119155.748,,
229,31901,Bundaberg,62168.368,,
230,31902,Burnett,38061.928,,
231,31903,Gympie - Cooloola,32483.308,,
232,31904,Hervey Bay,30574.935999999998,,
233,31905,Maryborough,31179.232000000004,,
234,40101,Adelaide City,11331.64,,
235,40102,Adelaide Hills,52506.172,,
236,40103,Burnside,36210.672,,
237,40104,Campbelltown (SA),40459.492,,
238,40105,Norwood - Payneham - St Peters,29321,,
239,40106,Prospect - Walkerville,22696.415999999997,,
240,40107,Unley,31714.203999999998,,
241,40201,Gawler - Two Wells,21420.244,,
242,40202,Playford,58383.015999999996,,
243,40203,Port Adelaide - East,44710.928,,
244,40204,Salisbury,97186.144,,
245,40205,Tea Tree Gully,81023.624,,
246,40301,Holdfast Bay,27295.78,,
247,40302,Marion,69092.484,,
248,40303,Mitcham,52745.100000000006,,
249,40304,Onkaparinga,129273.56400000001,,
250,40401,Charles Sturt,87147.68,,
251,40402,Port Adelaide - West,47303.81999999999,,
252,40403,West Torrens,47387.968,,
253,40501,Barossa,25383.483999999997,,
254,40502,Lower North,19090.260000000002,,
255,40503,Mid North,25223.908000000003,,
256,40504,Yorke Peninsula,19432.956,,
257,40601,Eyre Peninsula and South West,49453.736,,
258,40602,Outback - North and East,25597.124,,
259,40701,Fleurieu - Kangaroo Island,30765.904000000002,,
260,40702,Limestone Coast,54466.863999999994,,
261,40703,Murray and Mallee,59403.256,,
262,50101,Augusta - Margaret River - Busselton,26083.264,,
263,50102,Bunbury,63977.331999999995,,
264,50103,Manjimup,19093.312,,
265,50201,Mandurah,47285.508,,
266,50301,Cottesloe - Claremont,56366.516,,
267,50302,Perth City,63145.88,,
268,50401,Bayswater - Bassendean,62114.304000000004,,
269,50402,Mundaring,33271.596,,
270,50403,Swan,63673.004,,
271,50501,Joondalup,132830.888,,
272,50502,Stirling,138094.28,,
273,50503,Wanneroo,65080.412,,
274,50601,Armadale,45506.628,,
275,50602,Belmont - Victoria Park,45429.456,,
276,50603,Canning,67951.908,,
277,50604,Gosnells,69822.784,,
278,50605,Kalamunda,42396.204,,
279,50606,Serpentine - Jarrahdale,9595.052,,
280,50607,South Perth,32281.876000000004,,
281,50701,Cockburn,54060.076,,
282,50702,Fremantle,27938.008,,
283,50703,Kwinana,18289.764,,
284,50704,Melville,85912.056,,
285,50705,Rockingham,59193.976,,
286,50801,Esperance,12559.852,,
287,50802,Gascoyne,8732.208,,
288,50803,Goldfields,36419.952,,
289,50804,Kimberley,25582.3,,
290,50805,Mid West,43848.084,,
291,50806,Pilbara,35068.352,,
292,50901,Albany,45495.728,,
293,50902,Wheat Belt - North,46090.868,,
294,50903,Wheat Belt - South,18881.852,,
295,60101,Brighton,11623.324,,
296,60102,Hobart - North East,41509.816,,
297,60103,Hobart - North West,44290.187999999995,,
298,60104,Hobart - South and West,22845.528,,
299,60105,Hobart Inner,41109.132,,
300,60106,Sorell - Dodges Ferry,10635.784000000001,,
301,60201,Launceston,66384.924,,
302,60202,Meander Valley - West Tamar,18768.928,,
303,60203,North East,32075.212,,
304,60301,Central Highlands (Tas.),9733.7,,
305,60302,Huon - Bruny Island,14187.003999999999,,
306,60303,South East Coast,5490.548,,
307,60401,Burnie - Ulverstone,42196.952000000005,,
308,60402,Devonport,35468.164000000004,,
309,60403,West Coast,17563.824,,
310,70101,Darwin City,15419.14,,
311,70102,Darwin Suburbs,46173.708,,
312,70103,Litchfield,12374.552000000001,,
313,70104,Palmerston,15642.372,,
314,70201,Alice Springs,33581.156,,
315,70202,Barkly,5539.816,,
316,70203,Daly - Tiwi - West Arnhem,12316.128,,
317,70204,East Arnhem,11225.692,,
318,70205,Katherine,16136.36,,
319,80101,Belconnen,75065.68400000001,,
320,80103,Fyshwick - Pialligo - Hume,1301.8960000000002,,
321,80105,North Canberra,33670.972,,
322,80106,South Canberra,19148.248,,
323,80107,Tuggeranong,79358.104,,
324,80108,Weston Creek,21189.6,,
325,80109,Woden,28737.196,,
326,99999,Remainder,17037.136,,
