"No.","Code","Area name","Sex","Age group","2001","2006","2011","2016"
4,10104,"South Coast","Females","75–79",1375,1301.74810727715,1140.33983903141,1292.62238846111
4,10104,"South Coast","Females","80–84",886,1039.90177663616,1005.91506962536,899.102290874133
4,10104,"South Coast","Females","85+",669,813.485931067739,982.538038638898,1065.46879020709
4,10104,"South Coast","Males","0–4",1788,1732.76132973525,1745.2085426071,1789.20202940658
4,10104,"South Coast","Males","5–9",2197,2240.76482353379,2159.31563496712,2155.0609171779
4,10104,"South Coast","Males","10–14",2510,2506.71340120206,2537.23948607128,2438.56903455873
4,10104,"South Coast","Males","15–19",2017,2272.5923937991,2294.20460135887,2311.39954915296
4,10104,"South Coast","Males","20–24",1127,1426.54465262664,1565.18739220647,1601.97108730098
4,10104,"South Coast","Males","25–29",1289,1360.52219575594,1531.09144443399,1623.08853589568
4,10104,"South Coast","Males","30–34",1561,1675.33411411184,1678.44966633987,1801.31626273591
4,10104,"South Coast","Males","35–39",1885,1925.96238869172,1991.19856635138,1964.18275215789
4,10104,"South Coast","Males","40–44",2475,2307.94288691826,2354.99948123108,2398.8877855808
4,10104,"South Coast","Males","45–49",2405,2653.76029104618,2566.0662829185,2615.35532148053
4,10104,"South Coast","Males","50–54",2322,2702.4089209564,2955.03850561928,2910.90910342056
4,10104,"South Coast","Males","55–59",2085,2667.75455230204,3004.2462177187,3265.24532107028
4,10104,"South Coast","Males","60–64",2075,2313.41748824689,2908.87726165169,3212.628140003
4,10104,"South Coast","Males","65–69",1906,1966.77461705219,2250.55545010455,2832.65048356724
4,10104,"South Coast","Males","70–74",1753,1510.26546115407,1631.11935215267,1921.1724236577
4,10104,"South Coast","Males","75–79",1328,1221.90975454807,1094.22622941214,1228.85260127345
4,10104,"South Coast","Males","80–84",712,850.379010640095,818.942646779511,755.535507931503
4,10104,"South Coast","Males","85+",365,465.19914601366,586.330186162288,642.041420502091
5,10201,"Gosford","Females","0–4",5189,4706.15079903749,4637.8137715982,4704.58445195323
5,10201,"Gosford","Females","5–9",5614,5564.037283817,5146.95837318289,5069.82077939448
5,10201,"Gosford","Females","10–14",5662,5825.03519541209,5794.06398527764,5404.96121296163
5,10201,"Gosford","Females","15–19",4983,5503.13925449871,5676.00433710735,5653.22079121916
5,10201,"Gosford","Females","20–24",4066,4465.40827233426,4799.84477236799,4962.76160585641
5,10201,"Gosford","Females","25–29",4593,4433.08840165416,4749.19402701939,4976.45286577089
5,10201,"Gosford","Females","30–34",5264,5360.55821937656,5201.88233365141,5484.75988590367
5,10201,"Gosford","Females","35–39",6163,6065.94730044261,6159.28085879839,5986.77585909948
5,10201,"Gosford","Females","40–44",6312,6538.37572693284,6550.72190532564,6631.56977392071
5,10201,"Gosford","Females","45–49",5667,6416.47736219583,6646.30506719526,6702.24273280339
5,10201,"Gosford","Females","50–54",5252,5820.42397901447,6522.55808790602,6748.26162384061
