"Index","Code","Area","Period-Cohort","F_ASDRs 2001-06","F_ASDRs 2006-11","M_ASDRs 2001-06","M_ASDRs 2006-11","F_ASOMRs 2001-06","F_ASOMRs 2006-11","M_ASOMRs 2001-06","M_ASOMRs 2006-11","F_inward 2001-06","F_inward 2006-11","M_inward 2001-06","M_inward 2006-11","Age-Cohort","ASFRs 2001-06","ASFRs 2006-11"
166,30306,"Sunnybank","35-39 - 40-44",0.000804740162460601,0.000770404635859876,0.00149542192577888,0.00142066163571895,0.0605473135585266,0.0605473135585266,0.0650973484232115,0.0650973484232115,784.34140982329,784.34140982329,768.034483280863,768.034483280863,"35–39",0.0623900937716082,0.0623900937716082
166,30306,"Sunnybank","40-44 - 45-49",0.00131098481202602,0.00125994751527894,0.00209712339318576,0.00197666214750718,0.0496130898119999,0.0496130898119999,0.0524389941548347,0.0524389941548347,615.144016670828,615.144016670828,583.054604449952,583.054604449952,"40–44",0.0133811057250669,0.0133811057250669
166,30306,"Sunnybank","45-49 - 50-54",0.00200654502160826,0.00187338468641509,0.00323607291907735,0.00299671969219638,0.0470039311394663,0.0470039311394663,0.0488010661823198,0.0488010661823198,459.102690107918,459.102690107918,462.881493658808,462.881493658808,"45–49",0.000947139993708438,0.000947139993708438
166,30306,"Sunnybank","50-54 - 55-59",0.00308453545785501,0.00285688088269822,0.00526968609681167,0.0047452177837632,0.0471268613447561,0.0471268613447561,0.0471268613447561,0.0471268613447561,278.849175823461,278.849175823461,301.755873730477,301.755873730477,NA,NA,NA
166,30306,"Sunnybank","55-59 - 60-64",0.00469494791081026,0.00426761827002648,0.00852222006274419,0.00749149349307599,0.0449070974359226,0.0449070974359226,0.0449070974359226,0.0449070974359226,181.626673728085,181.626673728085,205.05176460963,205.05176460963,NA,NA,NA
166,30306,"Sunnybank","60-64 - 65-69",0.00727299496160703,0.00644596810936636,0.0135351853723144,0.0116476739984385,0.0388515568833666,0.0388515568833666,0.0388515568833666,0.0388515568833666,124.936949484537,124.936949484537,134.260985350678,134.260985350678,NA,NA,NA
166,30306,"Sunnybank","65-69 - 70-74",0.012100529265112,0.0107861447121326,0.0212243919037463,0.0183113419448556,0.0264365937794792,0.0264365937794792,0.0264365937794792,0.0264365937794792,118.783108633342,118.783108633342,119.350286384855,119.350286384855,NA,NA,NA
166,30306,"Sunnybank","70-74 - 75-79",0.0208335833026167,0.0187235428726125,0.0345075703408449,0.0302988745946289,0.0173950770269748,0.0173950770269748,0.0173950770269748,0.0173950770269748,86.4997728311825,86.4997728311825,75.6135701063479,75.6135701063479,NA,NA,NA
166,30306,"Sunnybank","75-79 - 80-84",0.0374817106103868,0.0342994957926486,0.0570556314746315,0.0516861727413707,0.0075023939109686,0.0075023939109686,0.0075023939109686,0.0075023939109686,58.7210940655362,58.7210940655362,58.7210940655362,58.7210940655362,NA,NA,NA
166,30306,"Sunnybank","80+ - 85+",0.117734864071762,0.115183690995724,0.138077965889707,0.134487050915137,0.00386088818181862,0.00386088818181862,0.00386088818181862,0.00386088818181862,31.2851436081649,31.2851436081649,31.2851436081649,31.2851436081649,NA,NA,NA
167,30401,"Centenary","Birth - 0-4",0.00191173952852498,0.00157795060362072,0.00240817148394991,0.00195115058116468,0.0921795897231487,0.0921795897231487,0.0945964251676115,0.0945964251676115,281.284512453197,281.284512453197,311.68083767057,311.68083767057,NA,NA,NA
167,30401,"Centenary","0-4 - 5-9",0.000143842403499296,0.000119515064524541,0.000221464698388491,0.000177580292157855,0.0736129500624638,0.0736129500624638,0.0734577129331346,0.0734577129331346,499.173014619471,499.173014619471,502.470767259776,502.470767259776,NA,NA,NA
167,30401,"Centenary","5-9 - 10-14",8.37862006287202e-05,7.04322557881296e-05,0.000131479425574852,0.000112598703585133,0.0541803043470621,0.0541803043470621,0.0523940066692823,0.0523940066692823,431.225938123043,431.225938123043,416.409025033147,416.409025033147,NA,NA,NA
167,30401,"Centenary","10-14 - 15-19",0.00016878794809056,0.000145815226507456,0.000320677552646044,0.000269986210045276,0.0607284289124535,0.0607284289124535,0.051906184278418,0.051906184278418,483.7364566985,483.7364566985,440.101539167908,440.101539167908,NA,NA,NA
167,30401,"Centenary","15-19 - 20-24",0.000297947016895218,0.000260640972060773,0.000787555729046002,0.000656648105748834,0.145571576242609,0.145571576242609,0.120614574548151,0.120614574548151,712.947223202709,712.947223202709,602.468490300729,602.468490300729,"15–19",0.0117450386446839,0.0117450386446839
167,30401,"Centenary","20-24 - 25-29",0.000337623895513069,0.000310033469667663,0.000877449245439579,0.000755032479250518,0.17677534200654,0.17677534200654,0.160999529648219,0.160999529648219,923.024089297916,923.024089297916,827.141199465639,827.141199465639,"20–24",0.0441188877969264,0.0441188877969264
167,30401,"Centenary","25-29 - 30-34",0.000427834873325616,0.000410113894020115,0.000972290862302913,0.00086054188405888,0.12939313604996,0.12939313604996,0.126752184565401,0.126752184565401,940.556375395949,940.556375395949,859.545734175906,859.545734175906,"25–29",0.0879378040764051,0.0879378040764051
167,30401,"Centenary","30-34 - 35-39",0.000569061427818913,0.000547520486602868,0.00115473250860176,0.00107555125723,0.100394146020537,0.100394146020537,0.106815471475768,0.106815471475768,693.137208439607,693.137208439607,714.987092021768,714.987092021768,"30–34",0.113054649979624,0.113054649979624
167,30401,"Centenary","35-39 - 40-44",0.000804740162460601,0.000770404635859876,0.00149542192577888,0.00142066163571895,0.0732443242234362,0.0732443242234362,0.0791535717053436,0.0791535717053436,605.882174733763,605.882174733763,591.122946601834,591.122946601834,"35–39",0.0653591787054362,0.0653591787054362
167,30401,"Centenary","40-44 - 45-49",0.00131098481202602,0.00125994751527894,0.00209712339318576,0.00197666214750718,0.0574650356880664,0.0574650356880664,0.0615948209304002,0.0615948209304002,458.531758506759,458.531758506759,447.162405101822,447.162405101822,"40–44",0.0140178997576531,0.0140178997576531
167,30401,"Centenary","45-49 - 50-54",0.00200654502160826,0.00187338468641509,0.00323607291907735,0.00299671969219638,0.0534343361483306,0.0534343361483306,0.0555927001226217,0.0555927001226217,345.722270789382,345.722270789382,357.844206370427,357.844206370427,"45–49",0.000992213480788618,0.000992213480788618
167,30401,"Centenary","50-54 - 55-59",0.00308453545785501,0.00285688088269822,0.00526968609681167,0.0047452177837632,0.0524558510424672,0.0524558510424672,0.0524558510424672,0.0524558510424672,193.800933445929,193.800933445929,218.339885082665,218.339885082665,NA,NA,NA
