"Info","2001-06","2006-11"
"Start-of-period population",115210,118012.800312552
"Births",6476.51925618161,6268.60588338346
"Deaths",4806.81965138019,4483.03120899352
"Net migration",1133.1007077509,451.71014141459
"End-of-period population",118012.800312552,120250.085128357
"84 Bringelly - Green Valley",NA,NA
"Start-of-period population",71602,84929.9270238322
"Births",6250.47740895031,6638.40054135906
"Deaths",1406.02920820789,1618.47924052264
"Net migration",8483.47882308974,8232.13413809275
"End-of-period population",84929.9270238322,98181.9824627613
"85 Fairfield",NA,NA
"Start-of-period population",176933,181373.393347497
"Births",11586.5058903857,11072.385028322
"Deaths",4810.5705811391,5501.55255468467
"Net migration",-2335.54196174968,-2003.94109725547
"End-of-period population",181373.393347497,184940.284723879
"86 Liverpool",NA,NA
"Start-of-period population",90280,100215.951388948
"Births",7682.77789029337,8183.64128252167
"Deaths",2308.35599242161,2697.17465145907
"Net migration",4561.52949107625,3942.68213224797
"End-of-period population",100215.951388948,109645.100152259
"87 Cronulla - Miranda - Caringbah",NA,NA
"Start-of-period population",102827,106077.275025932
"Births",5450.26824477749,5186.97844512193
"Deaths",4501.41552527951,4887.17498029007
"Net migration",2301.42230643441,2419.56076235554
"End-of-period population",106077.275025932,108796.63925312
"88 Sutherland - Menai - Heathcote",NA,NA
"Start-of-period population",109074,114068.360135105
"Births",6806.34271464268,6530.08888543937
"Deaths",2695.94547127027,2221.30588196792
"Net migration",883.962891732317,78.4516109005261
"End-of-period population",114068.360135105,118455.594749477
"89 Ballarat",NA,NA
"Start-of-period population",84091,86369.5003445169
"Births",5286.9319515271,5042.22460874391
"Deaths",3365.80831983484,3625.0310733121
"Net migration",357.376712824685,440.093623710204
"End-of-period population",86369.5003445169,88226.787503659
"90 Creswick - Daylesford - Ballan",NA,NA
"Start-of-period population",25918,26536.678876536
"Births",1497.05487465488,1399.5861939271
"Deaths",976.023407672067,1012.95320188774
"Net migration",97.647409553176,105.266833103211
"End-of-period population",26536.678876536,27028.5787016786
"91 Maryborough - Pyrenees",NA,NA
"Start-of-period population",23952,24245.2335202953
"Births",1187.49195322143,1092.9628671768
"Deaths",1084.72018374696,1103.27159618629
"Net migration",190.461750820794,197.698564489089
"End-of-period population",24245.2335202953,24432.6233557749
"92 Bendigo",NA,NA
"Start-of-period population",76312,79404.5241290725
"Births",4702.55144845881,4521.11538462999
"Deaths",3249.76774842881,3546.60447730277
"Net migration",1639.7404290424,1703.54124319965
"End-of-period population",79404.5241290725,82082.5762795993
"93 Heathcote - Castlemaine - Kyneton",NA,NA
"Start-of-period population",39809,41155.0868966392
"Births",2096.95304275825,1918.95635380085
"Deaths",1703.72283840209,1762.96339776935
"Net migration",952.85669228309,981.734114851974
"End-of-period population",41155.0868966392,42292.8139675227
"94 Loddon - Elmore",NA,NA
"Start-of-period population",11933,11585.5373106799
"Births",616.300804149431,524.141906834226
"Deaths",557.725087888946,568.289319624169
"Net migration",-406.038405580566,-337.12597398582
"End-of-period population",11585.5373106799,11204.2639239042
"95 Barwon - West",NA,NA
"Start-of-period population",13098,14115.9960927353
"Births",834.679043320413,792.416337360276
"Deaths",349.953448411089,316.934146336828
"Net migration",533.270497825966,464.174885601447
"End-of-period population",14115.9960927353,15055.6531693602
"96 Geelong",NA,NA
"Start-of-period population",159583,163039.354115742
"Births",9447.97494427266,8929.69784973942
"Deaths",6849.26200008693,7534.56099674335
"Net migration",857.64117155597,1294.02187118553
"End-of-period population",163039.354115742,165728.512839923
"97 Surf Coast - Bellarine Peninsula",NA,NA
"Start-of-period population",50288,53786.4940271527
"Births",2782.3522313031,2731.26707046291
"Deaths",2312.83068510992,2313.83721146678
"Net migration",3028.97248095951,2782.1449972626
"End-of-period population",53786.4940271527,56986.0688834114
"98 Upper Goulburn Valley",NA,NA
"Start-of-period population",46428,47424.0469769611
"Births",2519.29252809358,2293.55409471899
"Deaths",1988.53514406728,2224.73022307884
"Net migration",465.289592934838,704.388800249379
"End-of-period population",47424.0469769611,48197.2596488507
"99 Wangaratta - Benalla",NA,NA
"Start-of-period population",43571,44003.4870452286
"Births",2374.53710543164,2198.33182200796
"Deaths",2061.80987120801,2219.52053249348
"Net migration",119.759811004993,265.556502603384
"End-of-period population",44003.4870452286,44247.8548373465
"100 Wodonga - Alpine",NA,NA
"Start-of-period population",62110,64282.3564247586
"Births",3846.33481718628,3572.77154759575
"Deaths",2256.17036874451,2531.90994113236
"Net migration",582.19197631684,804.165784703274
"End-of-period population",64282.3564247586,66127.3838159253
"101 Baw Baw",NA,NA
"Start-of-period population",35933,37026.9989163835
"Births",2112.86454719607,1977.57177973769
"Deaths",1405.89554198363,1511.54167687905
"Net migration",387.029911171025,443.827636200627
"End-of-period population",37026.9989163835,37936.8566554427
"102 Gippsland - East",NA,NA
"Start-of-period population",39017,40000.2568064505
"Births",1953.23813796335,1813.5521234351
"Deaths",1965.3731438465,2139.9715841161
"Net migration",995.391812333682,1116.903950714
"End-of-period population",40000.2568064505,40790.7412964835
"103 Gippsland - South West",NA,NA
"Start-of-period population",51155,53169.1693916061
"Births",2672.45756101179,2544.45969414828
"Deaths",2545.94977025478,2659.88588301653
"Net migration",1887.66160084909,1853.38721244454
"End-of-period population",53169.1693916061,54907.1304151824
"104 Latrobe Valley",NA,NA
"Start-of-period population",69435,68279.0580654115
"Births",4181.84395968676,3717.56944425126
"Deaths",2510.07678717837,2827.86409141918
"Net migration",-2827.70910709692,-2308.23119326723
"End-of-period population",68279.0580654115,66860.5322249763
"105 Wellington",NA,NA
"Start-of-period population",40661,40337.2711059836
"Births",2334.34112913244,2176.57466323563
"Deaths",1560.53950692583,1621.172154554
"Net migration",-1097.53051622303,-1049.06579078514
"End-of-period population",40337.2711059836,39843.6078238801
"106 Brunswick - Coburg",NA,NA
"Start-of-period population",72096,71978.7851403795
"Births",3806.63857041425,3668.05411357423
"Deaths",2657.05666087601,2527.56439697988
"Net migration",-1266.79676915871,-1570.10012062722
"End-of-period population",71978.7851403795,71549.1747363466
"107 Darebin - South",NA,NA
"Start-of-period population",46091,46454.1885305883
"Births",2509.65049199538,2379.74790964678
"Deaths",1765.22330268868,1758.08806648427
"Net migration",-381.238658718351,-458.881096728281
"End-of-period population",46454.1885305883,46616.9672770226
"108 Essendon",NA,NA
"Start-of-period population",57155,58258.144568426
"Births",3350.84666864785,3218.82152563088
"Deaths",2395.14328336836,2449.35906668002
"Net migration",147.441183146556,64.2047084908137
"End-of-period population",58258.144568426,59091.8117358677
"109 Melbourne City",NA,NA
"Start-of-period population",55399,61759.6125542489
"Births",2071.96026494936,2253.89073636071
"Deaths",1501.93918405506,1610.72084314054
"Net migration",5790.59147335463,5413.51657764018
"End-of-period population",61759.6125542489,67816.2990251093
"110 Port Phillip",NA,NA
"Start-of-period population",80054,83889.0834974223
"Births",3001.32993833092,2988.1596203697
"Deaths",2738.74680649857,2619.29637450497
"Net migration",3572.50036558992,3016.68520464603
"End-of-period population",83889.0834974223,87274.6319479331
"111 Stonnington - West",NA,NA
"Start-of-period population",51460,52888.6441432572
"Births",1722.75605998293,1658.49147618323
"Deaths",2114.85348794369,2124.00158079616
"Net migration",1820.74157121792,1635.17981053554
"End-of-period population",52888.6441432572,54058.3138491798
"112 Yarra",NA,NA
"Start-of-period population",69294,71624.2735337123
"Births",2860.56383762138,2825.31214383479
"Deaths",2041.79442676887,2100.27393440113
"Net migration",1511.5041228598,1242.95512338397
"End-of-period population",71624.2735337123,73592.26686653
