"Area","Sex","Period-Cohort","ERP(t-5)","Deaths","Net mig","ERP(t)","Prelim mig (model rates x pop-at-risk)","Scaled mig (adjusted for pop size)","Prelim in (consistent with total net mig)","Prelim out (consistent with total net mig)","scaling factor a (unsmoothed)","scaling factor b (smoothed)","In-mig (consistent with cohort net mig)","Out-mig (consistent with cohort net mig)","Adjusted net mig"
"Gosnells","Females","5-9 - 10-14",2913,1.5404197171634,127.540419717163,3039,2594.28635213031,973.689331999266,1013.69923359273,935.258589363879,1.0360690850882,1.0360690850882,1050.26243750302,902.699060154143,147.563377348878
"Gosnells","Females","10-14 - 15-19",3039,3.16034084234754,160.160340842348,3196,2900.83624471083,1088.74384781479,1133.48145844683,1045.77199505214,1.03180809342647,1.03180809342647,1169.53534257427,1013.53342905007,156.001913524207
"Gosnells","Females","15-19 - 20-24",3082,5.41857971473271,-20.5814202852673,3056,5495.61982954002,2062.61980153144,2147.3749822363,1981.20984032282,0.9475097418667,0.9475097418667,2034.65871510972,2090.96514028406,-56.306425174335
"Gosnells","Females","20-24 - 25-29",3085,6.03331693709714,213.033316937097,3292,7191.89461271397,2699.26681590577,2810.1824808203,2592.72890396899,0.976007037263359,0.976007037263359,2742.75787727481,2656.46537881406,86.2924984607567
"Gosnells","Females","25-29 - 30-34",3093,7.15370590505487,123.153705905055,3209,6255.66383754585,2347.88003960714,2444.35685849664,2255.2110839397,0.98647583643915,0.98647583643915,2411.29897654124,2286.129067368,125.169909173249
"Gosnells","Females","30-34 - 35-39",2995,9.25307708051543,178.253077080515,3164,4625.17717547083,1735.92466793975,1807.25560775329,1667.4091035235,1.0056675175021,1.0056675175021,1817.49826054101,1658.01228985206,159.485970688944
"Gosnells","Females","35-39 - 40-44",3065,13.4540242733101,173.45402427331,3225,3453.51568468286,1296.17587407288,1349.43708117986,1245.01684440125,1.01843573327973,1.01843573327973,1374.31494328626,1222.47953770422,151.835405582045
"Gosnells","Females","40-44 - 45-49",3064,21.5165234139329,100.516523413933,3143,2604.72254944759,977.606252730136,1017.77710464711,939.020912352343,1.0017288089381,1.0017288089381,1019.53664680262,937.400326289676,82.1363205129439
"Gosnells","Females","45-49 - 50-54",2877,31.9752407686393,80.9752407686393,2926,2052.39796566492,770.307411340285,801.960139486289,739.903991170769,1.00929112636631,0.997315288617039,799.80710797113,741.895767181892,76.3185185415027
"Gosnells","Females","50-54 - 55-59",1996,33.8187381989466,-6.18126180105335,1956,1295.81539924138,486.346323891976,506.330797296141,467.150621740468,0.98092593054671,1.00716547319262,509.958897050763,463.827081223948,20.4386597169348
"Gosnells","Females","55-59 - 60-64",1442,39.1025069836126,88.1025069836126,1491,921.772325957987,345.960221230181,360.176084495571,332.305446768517,1.03127936266484,1.03027202290975,371.079343176967,322.541464175646,49.2157528366779
"Gosnells","Females","60-64 - 65-69",1134,48.5683423137093,61.5683423137093,1147,659.935073507714,247.687284157726,257.865010809772,237.911264272638,1.07861077551772,1.02237732422607,263.635339763223,232.703972041568,57.5640457673126
"Gosnells","Females","65-69 - 70-74",967,65.8312047883707,-1.1687952116293,900,453.955150003952,170.378758074264,177.379797440865,163.654044156895,0.957241834495667,1.03440564050256,183.482662984033,158.210703566334,-1.1687952116293
"Gosnells","Females","70-74 - 75-79",832,95.9356234983101,22.9356234983101,759,289.187165876282,108.537925327179,112.997860923455,104.25401983767,1.0673643114943,1.08699384435299,122.827979248851,95.9104049938068,22.9356234983101
"Gosnells","Females","75-79 - 80-84",590,115.99126864744,24.9912686474401,499,130.488267017623,48.9749458234627,50.9873769948286,47.0419437080355,1.236375387069,1.60106870467211,65.9286160246282,29.3815896661783,24.9912686474401
"Gosnells","Females","80+ - 85+",671,328.699507670892,62.6995076708924,405,75.3223790403289,28.2700469330031,29.431692396972,27.1542506905386,2.49946641545303,1.86792090126101,39.3195021522203,14.5371523345593,62.6995076708924
"Gosnells","Males","Birth - 0-4",3217.23061596824,25.1264176806705,82.8958017124289,3275,2286.48849211772,858.166428191689,893.42937419959,824.295282584653,1.00864812898489,1.00864812898489,901.155866666554,817.22779123601,83.9280754305437
"Gosnells","Males","0-4 - 5-9",3167,4.65067738717541,199.650677387175,3362,3713.80646568868,1393.86838842273,1451.14388197314,1338.85351299723,1.01513606912427,1.01513606912427,1473.10849607995,1318.89069231106,154.217803768888
"Gosnells","Males","5-9 - 10-14",3175,2.58633498059227,167.586334980592,3340,2772.13150851265,1040.43829800105,1083.19098363601,999.373026826329,1.03105805150249,1.03105805150249,1116.83278499281,969.269407643936,147.563377348878
"Gosnells","Males","10-14 - 15-19",3401,6.84348620606643,151.843486206066,3546,2816.71227199758,1057.17038071119,1100.61060492822,1015.4447075548,1.03401238362937,1.03401238362937,1138.04499504959,982.043081525388,156.001913524207
"Gosnells","Males","15-19 - 20-24",3117,14.9685699365973,-92.0314300634027,3010,4500.96749501571,1689.30620552874,1758.72154451129,1622.63063470397,0.944656404641574,0.944656404641574,1661.38757100371,1717.69399617805,-56.306425174335
"Gosnells","Males","20-24 - 25-29",3166,16.5516799844163,-40.4483200155837,3109,6430.35038210578,2413.44351325459,2512.61440307878,2318.18681948709,0.977856133205209,0.977856133205209,2456.97540443032,2370.68290596957,86.2924984607567
"Gosnells","Males","25-29 - 30-34",3151,18.1861124414441,127.186112441444,3260,6351.14196625638,2383.71495632262,2481.66426899866,2289.63162502591,0.986080748607507,0.986080748607507,2447.1213601667,2321.95145099345,125.169909173249
"Gosnells","Males","30-34 - 35-39",3045,19.7188642973724,140.718864297372,3166,4938.50745960277,1853.52400496014,1929.6872231473,1780.36688834998,1.00274362599566,1.00274362599566,1934.98156317621,1775.49559248726,159.485970688944
"Gosnells","Males","35-39 - 40-44",2966,24.2167868907803,130.21678689078,3072,3597.24782845564,1350.12152079843,1405.5994103173,1296.83329940469,1.01605903160407,1.01605903160407,1428.17197567025,1276.33657008821,151.835405582045
"Gosnells","Males","40-44 - 45-49",3044,34.7561176119549,63.7561176119549,3073,2760.48566601709,1036.06737241268,1078.64045219503,995.174618190592,0.999359101744521,0.999359101744521,1077.94915341092,995.812832897981,82.1363205129439
"Gosnells","Males","45-49 - 50-54",2984,53.6617963143661,71.6617963143661,3002,2210.70974940267,829.725098531463,863.819360891001,796.976509559752,1.00572111537244,0.994540218933961,859.103096299931,801.351714477695,76.3185185415027
"Gosnells","Males","50-54 - 55-59",2197,66.058581234923,47.058581234923,2178,1465.68656024145,550.102484480909,572.706764457158,528.390377436699,0.978540439684918,1.00384258649847,574.907439737846,526.367763774388,20.4386597169348
"Gosnells","Males","55-59 - 60-64",1552,76.3289986897432,10.3289986897432,1486,975.365913542955,366.075003259621,381.117403720319,351.626314367618,1.02726620443806,1.02812028417553,391.834533417175,342.008926173063,49.2157528366779
"Gosnells","Males","60-64 - 65-69",1124,90.5597492209158,53.5597492209158,1087,660.235060811485,247.799875598212,257.982228748984,238.019411818618,1.07855420840362,1.06176556775664,273.916647578788,224.173225283166,57.5640457673126
"Gosnells","Males","65-69 - 70-74",987,121.943797854555,41.9437978545555,907,477.540248737977,179.230733498107,186.595509689152,172.156639159131,1.07947629042824,1.1165588872894,208.344874671718,154.185006378897,41.9437978545555
"Gosnells","Males","70-74 - 75-79",706,136.051314327027,40.0513143270273,610,245.564783167448,92.165542746858,95.9527202113969,88.5278421613103,1.19164616303635,1.12707301202922,108.145721381056,78.5466790673321,40.0513143270273
"Gosnells","Males","75-79 - 80-84",430,123.743624097699,9.74362409769924,316,89.383193765148,33.5473615538553,34.9258573331342,32.2232739053593,1.11009658262306,1.43798727488563,65.9286160246282,22.4085946156389,9.74362409769924
"Gosnells","Males","80+ - 85+",380,208.550051780987,23.5500517809866,195,38.7909590283163,14.5590493327295,15.157295726064,13.9844152481872,2.01221907899747,1.56115783081026,39.3195021522203,8.95772033563646,23.5500517809866
"Kalamunda","Females","Birth - 0-4",1402.70334549904,8.06836436759281,-52.6349811314514,1342,927.367728732739,372.404085908325,361.90431101737,383.208486274591,1.00317031482173,1.00317031482173,363.051661618636,381.997434147252,-18.9457725286154
"Kalamunda","Females","0-4 - 5-9",1576,1.47516797196098,131.475167971961,1706,1873.36643665681,752.289834764751,731.079342676519,774.115697782461,1.11945564810426,1.11945564810426,818.41089937158,691.510824116512,126.900075255068
"Kalamunda","Females","5-9 - 10-14",1833,0.998218892657805,191.998218892658,2024,1681.14288645272,675.098410817288,656.064298112714,694.684752087711,1.18419853298392,1.18419853298392,776.910379368198,586.628620740865,190.281758627332
"Kalamunda","Females","10-14 - 15-19",2129,2.13696824239571,-39.8630317576043,2087,1961.49568688065,787.679995382313,765.47169276004,810.532617984054,0.997013983950192,0.997013983950192,763.185981999785,812.960129980029,-49.7741479802437
"Kalamunda","Females","15-19 - 20-24",2159,3.22572340789074,-660.774276592109,1495,3271.58599823057,1313.7744126663,1276.73310159462,1351.89038744348,0.809284189883956,0.809284189883956,1033.23991382203,1670.4767056395,-637.236791817466
"Kalamunda","Females","20-24 - 25-29",1497,2.6831561602019,-155.316843839798,1339,3198.40255945693,1284.38605810562,1248.17333919762,1321.6494011293,0.941896922831191,0.941896922831191,1175.65062735017,1403.17838299826,-227.527755648091
"Kalamunda","Females","25-29 - 30-34",1479,3.42020245825616,58.4202024582562,1534,2990.84657926462,1201.03757326677,1167.17482945685,1235.88276237057,1.05278156235558,1.05278156235558,1228.78014049769,1173.92135896197,54.858781535728
