No.,Code,Area name,Sex,Age group,2001,2006,2011
6,10202,Wyong,Males,10–14,5021,5473.20143181703,5508.03684361172
6,10202,Wyong,Males,15–19,4306,4829.22324056902,5219.42720296296
6,10202,Wyong,Males,20–24,3371,3904.15977091535,4276.24796989823
6,10202,Wyong,Males,25–29,3753,3741.74945516301,4125.98650235788
6,10202,Wyong,Males,30–34,4328,4383.26199278032,4344.67572189756
6,10202,Wyong,Males,35–39,4699,4783.22631957384,4865.75376657603
6,10202,Wyong,Males,40–44,4690,4938.41976531249,5064.06317681654
6,10202,Wyong,Males,45–49,4180,4804.0669918704,5047.21690632807
6,10202,Wyong,Males,50–54,3837,4503.0642548155,5103.6045212788
6,10202,Wyong,Males,55–59,3300,4326.09912455063,4937.60549471799
6,10202,Wyong,Males,60–64,3024,3773.51241693742,4841.15146813808
6,10202,Wyong,Males,65–69,3020,3348.05144036381,4141.81853639316
6,10202,Wyong,Males,70–74,3024,2964.03749602627,3367.09736255274
6,10202,Wyong,Males,75–79,2368,2541.41968731884,2557.53500439438
6,10202,Wyong,Males,80–84,1314,1726.1854434566,1910.54832330319
6,10202,Wyong,Males,85,810,1008.50226470317,1325.25126159982
7,10301,Bathurst,Females,0–4,1334,1210.35506730986,1168.7872521708
7,10301,Bathurst,Females,5–9,1432,1402.2091345927,1285.06450444633
7,10301,Bathurst,Females,10–14,1553,1559.42990085125,1529.52803347969
7,10301,Bathurst,Females,15–19,1795,1803.89337192881,1817.4879654611
7,10301,Bathurst,Females,20–24,1440,1540.78779536786,1565.14745437234
7,10301,Bathurst,Females,25–29,1263,1191.61306981109,1256.79019602935
7,10301,Bathurst,Females,30–34,1325,1316.42483404707,1249.02323119798
7,10301,Bathurst,Females,35–39,1423,1401.73117077303,1392.71006117813
7,10301,Bathurst,Females,40–44,1458,1456.63001816927,1448.05796735112
7,10301,Bathurst,Females,45–49,1363,1496.50810597062,1502.16285622465
7,10301,Bathurst,Females,50–54,1300,1371.6339121384,1496.71501926994
7,10301,Bathurst,Females,55–59,999,1305.65245811262,1374.63656730145
7,10301,Bathurst,Females,60–64,792,991.430968464517,1286.40998846138
7,10301,Bathurst,Females,65–69,688,799.997032628897,990.222833211334
7,10301,Bathurst,Females,70–74,636,679.235370954971,788.15976603233
7,10301,Bathurst,Females,75–79,527,637.246049854687,676.350725119509
7,10301,Bathurst,Females,80–84,395,489.579035640164,586.061224075779
7,10301,Bathurst,Females,85,377,465.890657705647,574.691363448337
7,10301,Bathurst,Males,0–4,1433,1285.10576593372,1241.49385321251
7,10301,Bathurst,Males,5–9,1452,1478.85640380123,1346.23190001275
7,10301,Bathurst,Males,10–14,1691,1607.04209059894,1617.45097315078
7,10301,Bathurst,Males,15–19,1947,1938.38878574014,1882.32419350737
7,10301,Bathurst,Males,20–24,1598,1630.1337974063,1642.01490744404
7,10301,Bathurst,Males,25–29,1393,1233.34841882321,1272.48622177292
7,10301,Bathurst,Males,30–34,1442,1417.67352230606,1308.89409148748
7,10301,Bathurst,Males,35–39,1447,1463.67528304987,1441.67186617034
7,10301,Bathurst,Males,40–44,1554,1494.2326783651,1505.95569898563
7,10301,Bathurst,Males,45–49,1458,1578.00360139571,1540.27112876743
7,10301,Bathurst,Males,50–54,1370,1445.42785868387,1558.46178603853
7,10301,Bathurst,Males,55–59,1096,1367.05756248021,1434.70860818102
7,10301,Bathurst,Males,60–64,812,1071.65404877677,1333.62630030825
7,10301,Bathurst,Males,65–69,603,793.143260018556,1031.96393846901
7,10301,Bathurst,Males,70–74,594,594.355235192604,767.307577041393
